id,ano_nascimento,escolaridade,estado_civil,salario_anual,filhos_em_casa,adolescentes_em_casa,data_cadastro,dias_desde_ultima_compra,gasto_com_eletronicos,gasto_com_brinquedos,gasto_com_moveis,gasto_com_utilidades,gasto_com_alimentos,gasto_com_vestuario,numero_de_compras_com_desconto,numero_de_compras_na_web,numero_de_compras_via_catalogo,numero_de_compras_na_loja,numero_visitas_website_mes,compra_na_campanha_1,compra_na_campanha_2,compra_na_campanha_3,compra_na_campanha_4,compra_na_campanha_5,comprou,pais,ano_cadastro,mes_cadastro,mes_nome_cadastro,dia_cadastro,dia_semana_cadastro,semana_cadastro,idade,faixa_etária,filhos,gasto_total,total_compras,comprou_em_campanha,engajamento_em_campanhas
2795,1958,Mestrado,Solteiro,30523.0,2,1,2020-01-07,0,5.0,0.0,3.0,0.0,0.0,5.0,1,1,0,2,7,Não,Não,Não,Não,Não,Não,Chile,2020,1,Janeiro,7,Terça-feira,2,67,60+,Sim,13.0,4,Não,0
2285,1954,Mestrado,Casado,36634.0,0,1,2023-12-05,0,213.0,9.0,76.0,4.0,3.0,30.0,3,5,2,5,7,Não,Não,Não,Não,Não,Não,Espanha,2023,12,Dezembro,5,Terça-feira,49,71,60+,Sim,335.0,15,Não,0
115,1966,Mestrado,Solteiro,43456.0,0,1,2023-02-03,0,275.0,11.0,68.0,25.0,7.0,7.0,3,5,1,8,5,Não,Não,Não,Não,Não,Não,Argentina,2023,2,Fevereiro,3,Sexta-feira,5,59,46-60,Sim,393.0,17,Não,0
10470,1979,Mestrado,Solteiro,40662.0,1,0,2023-05-03,0,40.0,2.0,23.0,0.0,4.0,23.0,2,2,1,3,4,Não,Não,Não,Não,Não,Não,Alemanha,2023,5,Maio,3,Quarta-feira,18,46,46-60,Sim,92.0,8,Não,0
4065,1976,Doutorado,Solteiro,49544.0,1,0,2020-11-02,0,308.0,0.0,73.0,0.0,0.0,23.0,2,5,1,8,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2020,11,Novembro,2,Segunda-feira,45,49,46-60,Sim,404.0,16,Não,0
10968,1969,Curso Superior,Solteiro,57731.0,0,1,2022-04-11,0,266.0,21.0,300.0,65.0,8.0,44.0,4,8,8,6,6,Não,Não,Não,Não,Não,Não,Argentina,2022,4,Abril,11,Segunda-feira,15,56,46-60,Sim,704.0,26,Não,0
5985,1965,Mestrado,Solteiro,33168.0,0,1,2022-12-10,0,80.0,1.0,37.0,0.0,1.0,3.0,3,2,1,4,7,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,12,Dezembro,10,Sábado,49,60,46-60,Sim,122.0,10,Não,0
5430,1956,Curso Superior,Casado,54450.0,1,1,2022-04-09,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,4,Abril,9,Sábado,14,69,60+,Sim,684.0,31,Não,0
8432,1956,Curso Superior,Casado,54450.0,1,1,2022-04-09,0,454.0,0.0,171.0,8.0,19.0,32.0,12,9,2,8,8,Não,Não,Não,Não,Não,Não,Estados Unidos,2022,4,Abril,9,Sábado,14,69,60+,Sim,684.0,31,Não,0
453,1956,Doutorado,Divorciado,35340.0,1,1,2021-07-06,1,27.0,0.0,12.0,0.0,1.0,5.0,2,2,0,3,5,Não,Não,Não,Não,Não,Não,Estados Unidos,2021,7,Julho,6,Terça-feira,27,69,60+,Sim,45.0,7,Não,0
